('Customer#000128120', 128120, 4722021, datetime.date(1994, 4, 7), Decimal('544089.09'), Decimal('323.00'))
('Customer#000144617', 144617, 3043270, datetime.date(1997, 2, 12), Decimal('530604.44'), Decimal('317.00'))
('Customer#000013940', 13940, 2232932, datetime.date(1997, 4, 13), Decimal('522720.61'), Decimal('304.00'))
('Customer#000066790', 66790, 2199712, datetime.date(1996, 9, 30), Decimal('515531.82'), Decimal('327.00'))
('Customer#000046435', 46435, 4745607, datetime.date(1997, 7, 3), Decimal('508047.99'), Decimal('309.00'))
('Customer#000015272', 15272, 3883783, datetime.date(1993, 7, 28), Decimal('500241.33'), Decimal('302.00'))
('Customer#000146608', 146608, 3342468, datetime.date(1994, 6, 12), Decimal('499794.58'), Decimal('303.00'))
('Customer#000096103', 96103, 5984582, datetime.date(1992, 3, 16), Decimal('494398.79'), Decimal('312.00'))
('Customer#000024341', 24341, 1474818, datetime.date(1992, 11, 15), Decimal('491348.26'), Decimal('302.00'))
('Customer#000137446', 137446, 5489475, datetime.date(1997, 5, 23), Decimal('487763.25'), Decimal('311.00'))
('Customer#000107590', 107590, 4267751, datetime.date(1994, 11, 4), Decimal('485141.38'), Decimal('301.00'))
('Customer#000050008', 50008, 2366755, datetime.date(1996, 12, 9), Decimal('483891.26'), Decimal('302.00'))
('Customer#000015619', 15619, 3767271, datetime.date(1996, 8, 7), Decimal('480083.96'), Decimal('318.00'))
('Customer#000077260', 77260, 1436544, datetime.date(1992, 9, 12), Decimal('479499.43'), Decimal('307.00'))
('Customer#000109379', 109379, 5746311, datetime.date(1996, 10, 10), Decimal('478064.11'), Decimal('302.00'))
('Customer#000054602', 54602, 5832321, datetime.date(1997, 2, 9), Decimal('471220.08'), Decimal('307.00'))
('Customer#000105995', 105995, 2096705, datetime.date(1994, 7, 3), Decimal('469692.58'), Decimal('307.00'))
('Customer#000148885', 148885, 2942469, datetime.date(1992, 5, 31), Decimal('469630.44'), Decimal('313.00'))
('Customer#000114586', 114586, 551136, datetime.date(1993, 5, 19), Decimal('469605.59'), Decimal('308.00'))
('Customer#000105260', 105260, 5296167, datetime.date(1996, 9, 6), Decimal('469360.57'), Decimal('303.00'))
('Customer#000147197', 147197, 1263015, datetime.date(1997, 2, 2), Decimal('467149.67'), Decimal('320.00'))
('Customer#000064483', 64483, 2745894, datetime.date(1996, 7, 4), Decimal('466991.35'), Decimal('304.00'))
('Customer#000136573', 136573, 2761378, datetime.date(1996, 5, 31), Decimal('461282.73'), Decimal('301.00'))
('Customer#000016384', 16384, 502886, datetime.date(1994, 4, 12), Decimal('458378.92'), Decimal('312.00'))
('Customer#000117919', 117919, 2869152, datetime.date(1996, 6, 20), Decimal('456815.92'), Decimal('317.00'))
('Customer#000012251', 12251, 735366, datetime.date(1993, 11, 24), Decimal('455107.26'), Decimal('309.00'))
('Customer#000120098', 120098, 1971680, datetime.date(1995, 6, 14), Decimal('453451.23'), Decimal('308.00'))
('Customer#000066098', 66098, 5007490, datetime.date(1992, 8, 7), Decimal('453436.16'), Decimal('304.00'))
('Customer#000117076', 117076, 4290656, datetime.date(1997, 2, 5), Decimal('449545.85'), Decimal('301.00'))
('Customer#000129379', 129379, 4720454, datetime.date(1997, 6, 7), Decimal('448665.79'), Decimal('303.00'))
('Customer#000126865', 126865, 4702759, datetime.date(1994, 11, 7), Decimal('447606.65'), Decimal('320.00'))
('Customer#000088876', 88876, 983201, datetime.date(1993, 12, 30), Decimal('446717.46'), Decimal('304.00'))
('Customer#000036619', 36619, 4806726, datetime.date(1995, 1, 17), Decimal('446704.09'), Decimal('328.00'))
('Customer#000141823', 141823, 2806245, datetime.date(1996, 12, 29), Decimal('446269.12'), Decimal('310.00'))
('Customer#000053029', 53029, 2662214, datetime.date(1993, 8, 13), Decimal('446144.49'), Decimal('302.00'))
('Customer#000018188', 18188, 3037414, datetime.date(1995, 1, 25), Decimal('443807.22'), Decimal('308.00'))
('Customer#000066533', 66533, 29158, datetime.date(1995, 10, 21), Decimal('443576.50'), Decimal('305.00'))
('Customer#000037729', 37729, 4134341, datetime.date(1995, 6, 29), Decimal('441082.97'), Decimal('309.00'))
('Customer#000003566', 3566, 2329187, datetime.date(1998, 1, 4), Decimal('439803.36'), Decimal('304.00'))
('Customer#000045538', 45538, 4527553, datetime.date(1994, 5, 22), Decimal('436275.31'), Decimal('305.00'))
('Customer#000081581', 81581, 4739650, datetime.date(1995, 11, 4), Decimal('435405.90'), Decimal('305.00'))
('Customer#000119989', 119989, 1544643, datetime.date(1997, 9, 20), Decimal('434568.25'), Decimal('320.00'))
('Customer#000003680', 3680, 3861123, datetime.date(1998, 7, 3), Decimal('433525.97'), Decimal('301.00'))
('Customer#000113131', 113131, 967334, datetime.date(1995, 12, 15), Decimal('432957.75'), Decimal('301.00'))
('Customer#000141098', 141098, 565574, datetime.date(1995, 9, 24), Decimal('430986.69'), Decimal('301.00'))
('Customer#000093392', 93392, 5200102, datetime.date(1997, 1, 22), Decimal('425487.51'), Decimal('304.00'))
('Customer#000015631', 15631, 1845057, datetime.date(1994, 5, 12), Decimal('419879.59'), Decimal('302.00'))
('Customer#000112987', 112987, 4439686, datetime.date(1996, 9, 17), Decimal('418161.49'), Decimal('305.00'))
('Customer#000012599', 12599, 4259524, datetime.date(1998, 2, 12), Decimal('415200.61'), Decimal('304.00'))
('Customer#000105410', 105410, 4478371, datetime.date(1996, 3, 5), Decimal('412754.51'), Decimal('302.00'))
('Customer#000149842', 149842, 5156581, datetime.date(1994, 5, 30), Decimal('411329.35'), Decimal('302.00'))
('Customer#000010129', 10129, 5849444, datetime.date(1994, 3, 21), Decimal('409129.85'), Decimal('309.00'))
('Customer#000069904', 69904, 1742403, datetime.date(1996, 10, 19), Decimal('408513.00'), Decimal('305.00'))
('Customer#000017746', 17746, 6882, datetime.date(1997, 4, 9), Decimal('408446.93'), Decimal('303.00'))
('Customer#000013072', 13072, 1481925, datetime.date(1998, 3, 15), Decimal('399195.47'), Decimal('301.00'))
('Customer#000082441', 82441, 857959, datetime.date(1994, 2, 7), Decimal('382579.74'), Decimal('305.00'))
('Customer#000088703', 88703, 2995076, datetime.date(1994, 1, 30), Decimal('363812.12'), Decimal('302.00'))
